countyFIPS	stay at home	>50 gatherings	>500 gatherings	public schools	restaurant dine-in	entertainment/gym	federal guidelines
36111	-7.0	-13.0	-16.0	-11	-13	-13.0	-13
36113	-13.0	-19.0	-22.0	-17	-19	-19.0	-19
36115	-13.0	-19.0	-22.0	-17	-19	-19.0	-19
36117	-24.0	-30.0	-33.0	-28	-30	-30.0	-30
36119	0.0	-6.0	-9.0	-4	-6	-6.0	-6
36123	-31.0	-37.0	-40.0	-35	-37	-37.0	-37
37001	-25.0	-32.0	-43.0	-39	-38	-32.0	-39
37015	-3.0	-10.0	-21.0	-17	-16	-10.0	-17
37017	-37.0	-44.0	-55.0	-51	-50	-44.0	-51
37019	-6.0	-13.0	-24.0	-20	-19	-13.0	-20
37021	0.0	-7.0	-18.0	-14	-13	-7.0	-14
37023	-6.0	-13.0	-24.0	-20	-19	-13.0	-20
37025	5.0	-2.0	-13.0	-9	-8	-2.0	-9
37031	-10.0	-17.0	-28.0	-24	-23	-17.0	-24
37033	-39.0	-46.0	-57.0	-53	-52	-46.0	-53
37035	-6.0	-13.0	-24.0	-20	-19	-13.0	-20
37037	-22.0	-29.0	-40.0	-36	-35	-29.0	-36
37039	-2.0	-9.0	-20.0	-16	-15	-9.0	-16
37045	-16.0	-23.0	-34.0	-30	-29	-23.0	-30
37047	-8.0	-15.0	-26.0	-22	-21	-15.0	-22
37049	-11.0	-18.0	-29.0	-25	-24	-18.0	-25
37051	-10.0	-17.0	-28.0	-24	-23	-17.0	-24
37055	-12.0	-19.0	-30.0	-26	-25	-19.0	-26
37057	-8.0	-15.0	-26.0	-22	-21	-15.0	-22
37059	-3.0	-10.0	-21.0	-17	-16	-10.0	-17
37061	-34.0	-41.0	-52.0	-48	-47	-41.0	-48
37063	-6.0	-13.0	-24.0	-20	-19	-13.0	-20
37065	-10.0	-17.0	-28.0	-24	-23	-17.0	-24
37067	-1.0	-8.0	-19.0	-15	-14	-8.0	-15
37071	-3.0	-10.0	-21.0	-17	-16	-10.0	-17
37077	-15.0	-22.0	-33.0	-29	-28	-22.0	-29
37079	-40.0	-47.0	-58.0	-54	-53	-47.0	-54
37081	-2.0	-9.0	-20.0	-16	-15	-9.0	-16
37083	-18.0	-25.0	-36.0	-32	-31	-25.0	-32
37085	3.0	-4.0	-15.0	-11	-10	-4.0	-11
37089	-8.0	-15.0	-26.0	-22	-21	-15.0	-22
37091	-8.0	-15.0	-26.0	-22	-21	-15.0	-22
37097	-9.0	-16.0	-27.0	-23	-22	-16.0	-23
37099	-37.0	-44.0	-55.0	-51	-50	-44.0	-51
37103	-12.0	-19.0	-30.0	-26	-25	-19.0	-26
37105	-33.0	-40.0	-51.0	-47	-46	-40.0	-47
37107	-24.0	-31.0	-42.0	-38	-37	-31.0	-38
37111	-26.0	-33.0	-44.0	-40	-39	-33.0	-40
37113	-8.0	-15.0	-26.0	-22	-21	-15.0	-22
37117	-35.0	-42.0	-53.0	-49	-48	-42.0	-49
37119	0.0	-7.0	-18.0	-14	-13	-7.0	-14
37123	-3.0	-10.0	-21.0	-17	-16	-10.0	-17
37125	-22.0	-29.0	-40.0	-36	-35	-29.0	-36
37127	-11.0	-18.0	-29.0	-25	-24	-18.0	-25
37129	-15.0	-22.0	-33.0	-29	-28	-22.0	-29
37131	-17.0	-24.0	-35.0	-31	-30	-24.0	-31
37133	-1.0	-8.0	-19.0	-15	-14	-8.0	-15
37135	-10.0	-17.0	-28.0	-24	-23	-17.0	-24
37139	-22.0	-29.0	-40.0	-36	-35	-29.0	-36
37141	-36.0	-43.0	-54.0	-50	-49	-43.0	-50
37143	-33.0	-40.0	-51.0	-47	-46	-40.0	-47
37145	-30.0	-37.0	-48.0	-44	-43	-37.0	-44
37147	-11.0	-18.0	-29.0	-25	-24	-18.0	-25
37151	-5.0	-12.0	-23.0	-19	-18	-12.0	-19
37153	-12.0	-19.0	-30.0	-26	-25	-19.0	-26
37155	-25.0	-32.0	-43.0	-39	-38	-32.0	-39
37157	-3.0	-10.0	-21.0	-17	-16	-10.0	-17
37159	2.0	-5.0	-16.0	-12	-11	-5.0	-12
37161	-10.0	-17.0	-28.0	-24	-23	-17.0	-24
37163	-36.0	-43.0	-54.0	-50	-49	-43.0	-50
37167	-11.0	-18.0	-29.0	-25	-24	-18.0	-25
37171	-33.0	-40.0	-51.0	-47	-46	-40.0	-47
37179	-11.0	-18.0	-29.0	-25	-24	-18.0	-25
37181	-16.0	-23.0	-34.0	-30	-29	-23.0	-30
37183	-17.0	-24.0	-35.0	-31	-30	-24.0	-31
37187	-10.0	-17.0	-28.0	-24	-23	-17.0	-24
37191	-15.0	-22.0	-33.0	-29	-28	-22.0	-29
37193	-3.0	-10.0	-21.0	-17	-16	-10.0	-17
37195	-5.0	-12.0	-23.0	-19	-18	-12.0	-19
37197	-16.0	-23.0	-34.0	-30	-29	-23.0	-30
38017				-11	-8	-8.0	-11
38029				-22	-19	-19.0	-22
38049				-14	-11	-11.0	-14
38059				-14	-11	-11.0	-14
38089				-24	-21	-21.0	-24
38101				-27	-24	-24.0	-27
39003	-15.0	-23.0	-23.0	-21	-23	-16.0	-22
39007	-20.0	-28.0	-28.0	-26	-28	-21.0	-27
39009	-7.0	-15.0	-15.0	-13	-15	-8.0	-14
39011	-17.0	-25.0	-25.0	-23	-25	-18.0	-24
39013	-14.0	-22.0	-22.0	-20	-22	-15.0	-21
39015	-8.0	-16.0	-16.0	-14	-16	-9.0	-15
39017	-11.0	-19.0	-19.0	-17	-19	-12.0	-18
39019	-32.0	-40.0	-40.0	-38	-40	-33.0	-39
39021	-19.0	-27.0	-27.0	-25	-27	-20.0	-26
39023	-31.0	-39.0	-39.0	-37	-39	-32.0	-38
39029	-3.0	-11.0	-11.0	-9	-11	-4.0	-10
39033	-41.0	-49.0	-49.0	-47	-49	-42.0	-48
39037	-8.0	-16.0	-16.0	-14	-16	-9.0	-15
39039	-31.0	-39.0	-39.0	-37	-39	-32.0	-38
39041	-7.0	-15.0	-15.0	-13	-15	-8.0	-14
39043	2.0	-6.0	-6.0	-4	-6	1.0	-5
39045	-22.0	-30.0	-30.0	-28	-30	-23.0	-29
39053	-1.0	-9.0	-9.0	-7	-9	-2.0	-8
39055	-16.0	-24.0	-24.0	-22	-24	-17.0	-23
39061	-10.0	-18.0	-18.0	-16	-18	-11.0	-17
39063	-18.0	-26.0	-26.0	-24	-26	-19.0	-25
39071	-43.0	-51.0	-51.0	-49	-51	-44.0	-50
39073	-30.0	-38.0	-38.0	-36	-38	-31.0	-37
39075	-28.0	-36.0	-36.0	-34	-36	-29.0	-35
39077	-7.0	-15.0	-15.0	-13	-15	-8.0	-14
39081	-30.0	-38.0	-38.0	-36	-38	-31.0	-37
39083	-10.0	-18.0	-18.0	-16	-18	-11.0	-17
39085	-5.0	-13.0	-13.0	-11	-13	-6.0	-12
39089	-11.0	-19.0	-19.0	-17	-19	-12.0	-18
39093	-6.0	-14.0	-14.0	-12	-14	-7.0	-13
39095	3.0	-5.0	-5.0	-3	-5	2.0	-4
39097	-9.0	-17.0	-17.0	-15	-17	-10.0	-16
39099	-3.0	-11.0	-11.0	-9	-11	-4.0	-10
39101	-24.0	-32.0	-32.0	-30	-32	-25.0	-31
39103	-6.0	-14.0	-14.0	-12	-14	-7.0	-13
39107	-12.0	-20.0	-20.0	-18	-20	-13.0	-19
39109	-2.0	-10.0	-10.0	-8	-10	-3.0	-9
39117	-35.0	-43.0	-43.0	-41	-43	-36.0	-42
39123	-39.0	-47.0	-47.0	-45	-47	-40.0	-46
39127	-43.0	-51.0	-51.0	-49	-51	-44.0	-50
39129	-24.0	-32.0	-32.0	-30	-32	-25.0	-31
39133	-7.0	-15.0	-15.0	-13	-15	-8.0	-14
39135	-17.0	-25.0	-25.0	-23	-25	-18.0	-24
39137	-30.0	-38.0	-38.0	-36	-38	-31.0	-37
39139	-17.0	-25.0	-25.0	-23	-25	-18.0	-24
39141	-30.0	-38.0	-38.0	-36	-38	-31.0	-37
39143	-16.0	-24.0	-24.0	-22	-24	-17.0	-23
39147	-8.0	-16.0	-16.0	-14	-16	-9.0	-15
39149	-33.0	-41.0	-41.0	-39	-41	-34.0	-40
39151	0.0	-8.0	-8.0	-6	-8	-1.0	-7
39153	-4.0	-12.0	-12.0	-10	-12	-5.0	-11
39155	-3.0	-11.0	-11.0	-9	-11	-4.0	-10
39157	-44.0	-52.0	-52.0	-50	-52	-45.0	-51
39165	-20.0	-28.0	-28.0	-26	-28	-21.0	-27
39167	-18.0	-26.0	-26.0	-24	-26	-19.0	-25
39169	-17.0	-25.0	-25.0	-23	-25	-18.0	-24
39171	-23.0	-31.0	-31.0	-29	-31	-24.0	-30
39173	-16.0	-24.0	-24.0	-22	-24	-17.0	-23
39175	-17.0	-25.0	-25.0	-23	-25	-18.0	-24
40001		-9.0	-9.0	-21	-6	-6.0	-22
40013		-23.0	-23.0	-35	-20	-20.0	-36
40015		-17.0	-17.0	-29	-14	-14.0	-30
40017		-2.0	-2.0	-14	1	1.0	-15
40019		-29.0	-29.0	-41	-26	-26.0	-42
40021		-9.0	-9.0	-21	-6	-6.0	-22
40027		5.0	5.0	-7	8	8.0	-8
40031		-23.0	-23.0	-35	-20	-20.0	-36
40033		-24.0	-24.0	-36	-21	-21.0	-37
40037		1.0	1.0	-11	4	4.0	-12
40041		-18.0	-18.0	-30	-15	-15.0	-31
40047		-12.0	-12.0	-24	-9	-9.0	-25
40049		-31.0	-31.0	-43	-28	-28.0	-44
40051		-17.0	-17.0	-29	-14	-14.0	-30
40055		-3.0	-3.0	-15	0	0.0	-16
40065		-43.0	-43.0	-55	-40	-40.0	-56
40071		-3.0	-3.0	-15	0	0.0	-16
40077		-6.0	-6.0	-18	-3	-3.0	-19
40079		-40.0	-40.0	-52	-37	-37.0	-53
40081		-34.0	-34.0	-46	-31	-31.0	-47
40083		-31.0	-31.0	-43	-28	-28.0	-44
40087		-32.0	-32.0	-44	-29	-29.0	-45
40093		-16.0	-16.0	-28	-13	-13.0	-29
40097		-3.0	-3.0	-15	0	0.0	-16
40101		-2.0	-2.0	-14	1	1.0	-15
40109		4.0	4.0	-8	-8	-8.0	-9
40113		-4.0	-4.0	-16	-1	-1.0	-17
40115		-27.0	-27.0	-39	-24	-24.0	-40
40117		7.0	7.0	-5	10	10.0	-6
40119		-27.0	-27.0	-39	-24	-24.0	-40
40121		-16.0	-16.0	-28	-13	-13.0	-29
40123		-16.0	-16.0	-28	-13	-13.0	-29
40125		-8.0	-8.0	-20	-5	-5.0	-21
40131		-16.0	-16.0	-28	-13	-13.0	-29
40133		-7.0	-7.0	-19	-4	-4.0	-20
40135		1.0	1.0	-11	4	4.0	-12
40137		-4.0	-4.0	-16	-1	-1.0	-17
40139		-17.0	-17.0	-29	-14	-14.0	-30
40143		11.0	11.0	-1	14	14.0	-2
40145		1.0	1.0	-11	4	4.0	-12
40147		-6.0	-6.0	-18	-3	-3.0	-19
41003	-8.0	-15.0	-15.0	-15	-14	-14.0	-15
41005	-2.0	-9.0	-9.0	-9	-8	-8.0	-9
41033	-19.0	-26.0	-26.0	-26	-25	-25.0	-26
41039	5.0	-2.0	-2.0	-2	-1	-1.0	-2
41043	0.0	-7.0	-7.0	-7	-6	-6.0	-7
41047	2.0	-5.0	-5.0	-5	-4	-4.0	-5
41051	9.0	2.0	2.0	2	3	3.0	2
41053	-11.0	-18.0	-18.0	-18	-17	-17.0	-18
41059	-40.0	-47.0	-47.0	-47	-46	-46.0	-47
41065	-34.0	-41.0	-41.0	-41	-40	-40.0	-41
41067	5.0	-2.0	-2.0	-2	-1	-1.0	-2
41071	-5.0	-12.0	-12.0	-12	-11	-11.0	-12
42001	-8.0	-17.0	-17.0	-24	-23	-23.0	-24
42003	2.0	2.0	2.0	-5	-4	-4.0	-5
42005	-10.0	-19.0	-19.0	-26	-25	-25.0	-26
42007	-3.0	-8.0	-8.0	-15	-14	-14.0	-15
42009	-10.0	-19.0	-19.0	-26	-25	-25.0	-26
42011	-6.0	-10.0	-10.0	-17	-16	-16.0	-17
42015	-18.0	-27.0	-27.0	-34	-33	-33.0	-34
42017	-6.0	-6.0	-6.0	-13	-12	-12.0	-13
42019	1.0	-3.0	-3.0	-10	-9	-9.0	-10
42021	-6.0	-15.0	-15.0	-22	-21	-21.0	-22
42025	1.0	-8.0	-8.0	-15	-14	-14.0	-15
42027	-20.0	-25.0	-25.0	-32	-31	-31.0	-32
42029	-8.0	-8.0	-8.0	-15	-14	-14.0	-15
42031	-17.0	-26.0	-26.0	-33	-32	-32.0	-33
42041	4.0	-5.0	-5.0	-12	-11	-11.0	-12
42045	-3.0	-3.0	-3.0	-10	-9	-9.0	-10
42047	-36.0	-45.0	-45.0	-52	-51	-51.0	-52
42049	-35.0	-36.0	-36.0	-43	-42	-42.0	-43
42051	0.0	-9.0	-9.0	-16	-15	-15.0	-16
42055	-22.0	-31.0	-31.0	-38	-37	-37.0	-38
42059	-32.0	-41.0	-41.0	-48	-47	-47.0	-48
42063	-14.0	-23.0	-23.0	-30	-29	-29.0	-30
42067	-28.0	-37.0	-37.0	-44	-43	-43.0	-44
42069	4.0	0.0	0.0	-7	-6	-6.0	-7
42071	-1.0	-5.0	-5.0	-12	-11	-11.0	-12
42073	3.0	-6.0	-6.0	-13	-12	-12.0	-13
42075	-9.0	-18.0	-18.0	-25	-24	-24.0	-25
42077	-1.0	-3.0	-3.0	-10	-9	-9.0	-10
42079	2.0	-2.0	-2.0	-9	-8	-8.0	-9
42081	-30.0	-39.0	-39.0	-46	-45	-45.0	-46
42083	-36.0	-45.0	-45.0	-52	-51	-51.0	-52
42085	-16.0	-25.0	-25.0	-32	-31	-31.0	-32
42089	0.0	0.0	0.0	-7	-6	-6.0	-7
42091	0.0	0.0	0.0	-7	-6	-6.0	-7
42095	7.0	5.0	5.0	-2	-1	-1.0	-2
42099	-2.0	-11.0	-11.0	-18	-17	-17.0	-18
42103	-1.0	-5.0	-5.0	-12	-11	-11.0	-12
42107	-8.0	-17.0	-17.0	-24	-23	-23.0	-24
42109	1.0	-8.0	-8.0	-15	-14	-14.0	-15
42111	-31.0	-40.0	-40.0	-47	-46	-46.0	-47
42117	-10.0	-19.0	-19.0	-26	-25	-25.0	-26
42119	-34.0	-43.0	-43.0	-50	-49	-49.0	-50
42125	-17.0	-22.0	-22.0	-29	-28	-28.0	-29
42127	-15.0	-19.0	-19.0	-26	-25	-25.0	-26
42129	-12.0	-16.0	-16.0	-23	-22	-22.0	-23
42131	-16.0	-25.0	-25.0	-32	-31	-31.0	-32
42133	-6.0	-10.0	-10.0	-17	-16	-16.0	-17
44001	-42.0	-54.0	-54.0	-54	-47	-47.0	-54
44003	-28.0	-40.0	-40.0	-40	-33	-33.0	-40
44005	-39.0	-51.0	-51.0	-51	-44	-44.0	-51
44007	-5.0	-17.0	-17.0	-17	-10	-10.0	-17
44009	-28.0	-40.0	-40.0	-40	-33	-33.0	-40
45003	7.0	-13.0	-13.0	-15	-13	1.0	-15
45005	-16.0	-36.0	-36.0	-38	-36	-22.0	-38
45007	8.0	-12.0	-12.0	-14	-12	2.0	-14
45013	8.0	-12.0	-12.0	-14	-12	2.0	-14
45015	-3.0	-23.0	-23.0	-25	-23	-9.0	-25
45017	7.0	-13.0	-13.0	-15	-13	1.0	-15
45019	17.0	-3.0	-3.0	-5	-3	11.0	-5
45025	-23.0	-43.0	-43.0	-45	-43	-29.0	-45
45027	15.0	-5.0	-5.0	-7	-5	9.0	-7
45029	-8.0	-28.0	-28.0	-30	-28	-14.0	-30
45031	-20.0	-40.0	-40.0	-42	-40	-26.0	-42
45035	-5.0	-25.0	-25.0	-27	-25	-11.0	-27
45037	-13.0	-33.0	-33.0	-35	-33	-19.0	-35
45039	-16.0	-36.0	-36.0	-38	-36	-22.0	-38
45043	3.0	-17.0	-17.0	-19	-17	-3.0	-19
45045	10.0	-10.0	-10.0	-12	-10	4.0	-12
45049	-34.0	-54.0	-54.0	-56	-54	-40.0	-56
45051	14.0	-6.0	-6.0	-8	-6	8.0	-8
45053	-12.0	-32.0	-32.0	-34	-32	-18.0	-34
45055	12.0	-8.0	-8.0	-10	-8	6.0	-10
45057	-7.0	-27.0	-27.0	-29	-27	-13.0	-29
45059	-1.0	-21.0	-21.0	-23	-21	-7.0	-23
45061	5.0	-15.0	-15.0	-17	-15	-1.0	-17
45063	22.0	2.0	2.0	0	2	16.0	0
45065	-1.0	-21.0	-21.0	-23	-21	-7.0	-23
45067	7.0	-13.0	-13.0	-15	-13	1.0	-15
45071	-1.0	-21.0	-21.0	-23	-21	-7.0	-23
45075	-18.0	-38.0	-38.0	-40	-38	-24.0	-40
45077	-22.0	-42.0	-42.0	-44	-42	-28.0	-44
45083	1.0	-19.0	-19.0	-21	-19	-5.0	-21
45085	14.0	-6.0	-6.0	-8	-6	8.0	-8
45089	-24.0	-44.0	-44.0	-46	-44	-30.0	-46
45091	7.0	-13.0	-13.0	-15	-13	1.0	-15
46005				-16	-9		-16
46073				-40	-33		-40
46087				-33	-26		-33
46099				-21	-14		-21
46103				6	13		6
47001	-8.0	-14.0	-14.0	-19	-16	-16.0	-23
47003	-10.0	-16.0	-16.0	-21	-18	-18.0	-25
47005	-23.0	-29.0	-29.0	-34	-31	-31.0	-38
47009	-5.0	-11.0	-11.0	-16	-13	-13.0	-20
47011	-14.0	-20.0	-20.0	-25	-22	-22.0	-29
47013	-15.0	-21.0	-21.0	-26	-23	-23.0	-30
47017	-20.0	-26.0	-26.0	-31	-28	-28.0	-35
47019	-14.0	-20.0	-20.0	-25	-22	-22.0	-29
47035	-29.0	-35.0	-35.0	-40	-37	-37.0	-44
47037	5.0	5.0	5.0	0	3	3.0	-4
47047	-15.0	-21.0	-21.0	-26	-23	-23.0	-30
47051	-9.0	-9.0	-9.0	-14	-11	-11.0	-18
47053	-22.0	-28.0	-28.0	-33	-30	-30.0	-37
47059	-1.0	-7.0	-7.0	-12	-9	-9.0	-16
47061	-14.0	-20.0	-20.0	-25	-22	-22.0	-29
47063	-9.0	-15.0	-15.0	-20	-17	-17.0	-24
47065	6.0	0.0	0.0	-5	-2	-2.0	-9
