countyFIPS	deaths	type	days_since_first_death
01055	8.0	observed	21
01055	8.0	observed	22
01055	8.0	observed	23
01055	8.0	observed	24
01055	8.0	observed	25
01055	8.0	observed	26
01055	9.0	observed	27
01055	10.0	observed	28
01055	10.0	observed	29
01055	10.0	observed	30
01055	10.0	observed	31
01055	10.0	observed	32
01055	10.0	observed	33
01055	10.0	observed	34
01055	10.0	observed	35
01055	10.0	observed	36
01055	10.0	observed	37
01055	10.0	observed	38
01059	1.0	observed	0
01059	1.0	observed	1
01059	1.0	observed	2
01059	1.0	observed	3
01059	1.0	observed	4
01059	2.0	observed	5
01063	1.0	observed	0
01063	1.0	observed	1
01063	1.0	observed	2
01063	1.0	observed	3
01063	1.0	observed	4
01063	1.0	observed	5
01063	1.0	observed	6
01063	2.0	observed	7
01063	2.0	observed	8
01063	2.0	observed	9
01063	3.0	observed	10
01063	3.0	observed	11
01063	3.0	observed	12
01063	3.0	observed	13
01065	2.0	observed	0
01065	2.0	observed	1
01065	2.0	observed	2
01065	2.0	observed	3
01065	2.0	observed	4
01065	2.0	observed	5
01065	2.0	observed	6
01065	2.0	observed	7
01065	2.0	observed	8
01065	2.0	observed	9
01065	2.0	observed	10
01065	2.0	observed	11
01065	2.0	observed	12
01065	2.0	observed	13
01065	2.0	observed	14
01065	2.0	observed	15
01065	2.0	observed	16
01065	2.0	observed	17
01067	1.0	observed	0
01067	1.0	observed	1
01067	1.0	observed	2
01067	1.0	observed	3
01067	1.0	observed	4
01067	1.0	observed	5
01067	1.0	observed	6
01067	1.0	observed	7
01067	1.0	observed	8
01067	1.0	observed	9
01067	1.0	observed	10
01067	1.0	observed	11
01067	1.0	observed	12
01067	1.0	observed	13
01067	1.0	observed	14
01067	1.0	observed	15
01067	1.0	observed	16
01067	1.0	observed	17
01069	1.0	observed	0
01069	1.0	observed	1
01069	1.0	observed	2
01069	1.0	observed	3
01069	2.0	observed	4
01069	3.0	observed	5
01069	3.0	observed	6
01069	3.0	observed	7
01069	3.0	observed	8
01069	3.0	observed	9
01069	3.0	observed	10
01069	3.0	observed	11
01069	3.0	observed	12
01069	4.0	observed	13
01069	4.0	observed	14
01069	4.0	observed	15
01069	4.0	observed	16
01069	4.0	observed	17
01069	4.0	observed	18
01069	4.0	observed	19
01069	4.0	observed	20
01069	4.0	observed	21
01069	4.0	observed	22
01069	4.0	observed	23
01069	4.0	observed	24
01071	1.0	observed	0
01071	1.0	observed	1
01071	1.0	observed	2
01071	1.0	observed	3
01071	1.0	observed	4
01071	1.0	observed	5
01071	1.0	observed	6
01071	1.0	observed	7
01071	1.0	observed	8
01071	1.0	observed	9
01071	1.0	observed	10
01071	1.0	observed	11
01071	1.0	observed	12
01071	1.0	observed	13
01071	1.0	observed	14
01071	1.0	observed	15
01071	2.0	observed	16
01071	2.0	observed	17
01071	2.0	observed	18
01071	2.0	observed	19
01071	2.0	observed	20
01071	2.0	observed	21
01071	2.0	observed	22
01071	2.0	observed	23
01071	2.0	observed	24
01071	2.0	observed	25
01071	2.0	observed	26
01071	2.0	observed	27
01071	2.0	observed	28
01071	2.0	observed	29
01071	2.0	observed	30
01071	2.0	observed	31
01071	2.0	observed	32
01071	2.0	observed	33
01071	2.0	observed	34
01071	2.0	observed	35
01071	2.0	observed	36
01071	2.0	observed	37
01071	2.0	observed	38
01071	2.0	observed	39
01071	2.0	observed	40
01071	2.0	observed	41
01071	2.0	observed	42
01071	2.0	observed	43
01071	2.0	observed	44
01071	2.0	observed	45
01071	2.0	observed	46
01071	2.0	observed	47
01073	4.0	observed	0
01073	5.0	observed	1
01073	5.0	observed	2
01073	6.0	observed	3
01073	6.0	observed	4
01073	8.0	observed	5
01073	8.0	observed	6
01073	8.0	observed	7
01073	8.0	observed	8
01073	10.0	observed	9
01073	11.0	observed	10
01073	14.0	observed	11
01073	14.0	observed	12
01073	15.0	observed	13
01073	15.0	observed	14
01073	15.0	observed	15
01073	16.0	observed	16
01073	30.0	observed	17
01073	31.0	observed	18
01073	33.0	observed	19
01073	33.0	observed	20
01073	33.0	observed	21
01073	36.0	observed	22
01073	41.0	observed	23
01073	44.0	observed	24
01073	46.0	observed	25
01073	48.0	observed	26
01073	48.0	observed	27
01073	48.0	observed	28
01073	48.0	observed	29
01073	49.0	observed	30
01073	53.0	observed	31
01073	57.0	observed	32
01073	59.0	observed	33
01073	60.0	observed	34
01073	60.0	observed	35
01073	61.0	observed	36
01081	2.0	observed	0
01081	2.0	observed	1
01081	2.0	observed	2
01081	2.0	observed	3
01081	2.0	observed	4
01081	2.0	observed	5
01081	2.0	observed	6
01081	2.0	observed	7
01081	4.0	observed	8
01081	4.0	observed	9
01081	5.0	observed	10
01081	6.0	observed	11
01081	6.0	observed	12
01081	6.0	observed	13
